"Job Titles" Department "Annual Salary"
"AVIATION SECURITY OFFICER" AVIATION 77520
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 48078
CAPTAIN-EMT FIRE 136794
"PARAMEDIC FIELD CHIEF" FIRE 136890
SERGEANT POLICE 107988
"AVIATION SECURITY OFFICER" AVIATION 73992
SERGEANT POLICE 104628
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"CHIEF OPERATING ENGINEER" "GENERAL SERVICES" 118414.44
"PARAMEDIC I/C" FIRE 103932
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"ASST CORPORATION COUNSEL II" LAW 62940
FIREFIGHTER/PARAMEDIC FIRE 74502
"SUPERVISING HOUSE DRAIN INSPECTOR" "WATER MGMNT" 104550
SERGEANT POLICE 111474
"LABOR RELATIONS SUPVSR" "STREETS & SAN" 76716
"AVIATION COMMUNICATIONS OPERATOR" OEMC 70644
"PUBLIC HEALTH ADMINISTRATOR II" HEALTH 80568
"POLICE OFFICER" POLICE 48078
"DETENTION AIDE" POLICE 64392
"POLICE OFFICER" POLICE 84054
"POLICE COMMUNICATIONS OPERATOR I" OEMC 64392
"ADMINISTRATIVE ASST II" "PUBLIC LIBRARY" 41640
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"MANAGER OF FAMILY SUPPORT PROGRAMS" "FAMILY & SUPPORT" 110088
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT" FIRE 110214
"DISPATCH CLERK" FINANCE 70092
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"ASST CORPORATION COUNSEL I" LAW 65928
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"PROGRAM DIR" DISABILITIES 76716
"AVIATION SECURITY OFFICER" AVIATION 85056
"COMMUNICATIONS OPERATOR I - 311" OEMC 63876
"ADMINISTRATIVE ASST" "MAYOR'S OFFICE" 61200
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 84054
"SANITARIAN II" HEALTH 50676
"AVIATION SECURITY OFFICER" AVIATION 70644
"POLICE OFFICER" POLICE 76266
"ADMINISTRATIVE ASST III" "STREETS & SAN" 76932
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
SERGEANT POLICE 104628
"EXEC ADMINISTRATIVE ASST I" "COMMUNITY DEVELOPMENT" 47532
"POLICE OFFICER" POLICE 48078
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"POLICE COMMUNICATIONS OPERATOR I" OEMC 67464
"POLICE COMMUNICATIONS OPERATOR I" OEMC 67464
SERGEANT POLICE 101442
"POLICE COMMUNICATIONS OPERATOR II" OEMC 93312
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 99324
"ASST CORPORATION COUNSEL I" LAW 69060
PARAMEDIC FIRE 76266
"DETENTION AIDE" POLICE 73992
"PARKING ENFORCEMENT AIDE" FINANCE 41832
"ASST CORPORATION COUNSEL SUPVSR" LAW 91224
"AVIATION SECURITY OFFICER" AVIATION 85056
"POLICE OFFICER (ASGND AS MARINE OFFICER)" POLICE 94524
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"YOUTH SERVICES COORD" "FAMILY & SUPPORT" 84420
"POLICE OFFICER" POLICE 48078
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"LIBRARIAN I" "PUBLIC LIBRARY" 49704
FIREFIGHTER-EMT FIRE 92274
"LIBRARY ASSOCIATE" "PUBLIC LIBRARY" 47484
"POLICE COMMUNICATIONS OPERATOR II" OEMC 93312
SERGEANT POLICE 111474
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 94524
"AVIATION SECURITY OFFICER" AVIATION 67464
"LIBRARY ASSOCIATE" "PUBLIC LIBRARY" 48948
"EXECUTIVE SECRETARY II" AVIATION 66480
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"POLICE OFFICER" POLICE 72510
SERGEANT POLICE 107988
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"AIRPORT OPERATIONS SUPVSR I" AVIATION 63180
"SUPERVISING INVESTIGATOR-COPA" COPA 99672
"POLICE OFFICER" POLICE 76266
"AVIATION SECURITY OFFICER" AVIATION 70644
"POLICE OFFICER" POLICE 48078
"POLICE COMMUNICATIONS OPERATOR II" OEMC 89124
LIEUTENANT-EMT FIRE 117996
CAPTAIN-EMT FIRE 136794
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 63876
"SENIOR DATA BASE ANALYST" DoIT 79692
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"PARAMEDIC I/C" FIRE 91080
"POLICE OFFICER" POLICE 87006
"PROPERTY CUSTODIAN - AUTO POUND" "STREETS & SAN" 66948
"PARKING ENFORCEMENT AIDE" FINANCE 51012
"EMERGENCY MANAGEMENT COMMUNICATIONS OFFICER" OEMC 63876
"AVIATION COMMUNICATIONS OPERATOR" OEMC 70644
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
SERGEANT POLICE 104628
"ASST CORPORATION COUNSEL I" LAW 60084
"POLICE OFFICER" POLICE 84054
"ASST CORPORATION COUNSEL III" LAW 65928
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"POLICE COMMUNICATIONS OPERATOR I" OEMC 77520
"AVIATION SECURITY OFFICER" AVIATION 73992
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"ELDER PROTECTIVE INVESTIGATOR I" "FAMILY & SUPPORT" 62364
"POLICE COMMUNICATIONS OPERATOR I" OEMC 48072
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
PARAMEDIC FIRE 76266
"PLUMBING INSPECTOR" BUILDINGS 102510
"ASST CORPORATION COUNSEL II" LAW 109824
"LIBRARIAN I" "PUBLIC LIBRARY" 52320
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
SERGEANT POLICE 111474
COMMANDER-EMT FIRE 145194
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 48078
"SENIOR TELECOMMUNICATIONS SPECIALIST" DoIT 101592
FIREFIGHTER FIRE 93666
"ADMINISTRATIVE ASST III - EXCLUDED" "STREETS & SAN" 63468
"LIBRARIAN IV" "PUBLIC LIBRARY" 72264
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 72510
"DATA BASE ANALYST" HEALTH 72264
FIREFIGHTER/PARAMEDIC FIRE 74502
"POLICE OFFICER" POLICE 72510
"CLERK III" HEALTH 53076
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 68616
"PARKING ENFORCEMENT AIDE" FINANCE 56004
"FREEDOM OF INFORMATION ACT OFFICER" POLICE 53340
"PERSONAL COMPUTER OPERATOR III" LAW 70092
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"PARAMEDIC I/C" FIRE 82614
"POLICE COMMUNICATIONS OPERATOR I" OEMC 52776
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
FIREFIGHTER-EMT FIRE 84870
"ADMINISTRATIVE ASST" "MAYOR'S OFFICE" 165000
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 68616
"FIRE ENGINEER" FIRE 97440
"POLICE OFFICER" POLICE 96060
"EPIDEMIOLOGIST II" HEALTH 70092
FIREFIGHTER-EMT FIRE 84870
"STAFF ASST" "WATER MGMNT" 84420
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"POLICE OFFICER" POLICE 84054
"COMMUNITY LIVING SPECIALIST" "FAMILY & SUPPORT" 68796
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 98052
"AVIATION SECURITY OFFICER" AVIATION 61464
"COMMUNICATIONS OPERATOR I - 311" OEMC 60972
"PROGRAM AUDITOR II" "COMMUNITY DEVELOPMENT" 50676
"EQUIPMENT RENTAL COORD" "GENERAL SERVICES" 77484
"LEGISLATIVE AIDE" "CITY COUNCIL" 37704
"POLICE OFFICER" POLICE 76266
"SENIOR EMERGENCY MANAGEMENT COORD" HEALTH 66984
"POLICE OFFICER" POLICE 48078
"AVIATION SECURITY OFFICER" AVIATION 70644
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 48078
"ASST CORPORATION COUNSEL SUPVSR" LAW 115044
"ASST CORPORATION COUNSEL III" LAW 65928
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"OFFICE ADMINISTRATOR" "CITY CLERK" 102672
"SR PROCUREMENT SPECIALIST" PROCUREMENT 69924
"FILTRATION ENGINEER II" "WATER MGMNT" 79692
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"SENIOR DATA ENTRY OPERATOR" HEALTH 60972
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"DISTRICT CLERK" "WATER MGMNT" 55512
"AVIATION SECURITY OFFICER" AVIATION 55260
"POLICE OFFICER" POLICE 93354
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 91080
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"LIBRARIAN II" "PUBLIC LIBRARY" 79692
"PROPERTY CUSTODIAN - AUTO POUND" "STREETS & SAN" 38376
"POLICE OFFICER" POLICE 93354
"POLICE COMMUNICATIONS OPERATOR II" OEMC 85056
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 93354
"DETENTION AIDE" POLICE 56004
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 80016
"LIBRARIAN III" "PUBLIC LIBRARY" 79692
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"PROCUREMENT SPECIALIST" PROCUREMENT 64248
LIEUTENANT-EMT FIRE 114324
"ASST CORPORATION COUNSEL I" LAW 60084
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 84054
"CHIEF CONTRACT EXPEDITER" TRANSPORTN 106452
"POLICE OFFICER" POLICE 87006
"ASST CORPORATION COUNSEL I" LAW 62940
"POLICE OFFICER" POLICE 72510
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
LIEUTENANT FIRE 114846
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"ASST CORPORATION COUNSEL II" LAW 67212
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"POLICE OFFICER" POLICE 72510
"ACCOUNTING TECHNICIAN II" FINANCE 58248
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"PARKING ENFORCEMENT AIDE" FINANCE 41832
"PROGRAM DIR" HEALTH 73212
FIREFIGHTER-EMT FIRE 84870
PARAMEDIC FIRE 56304
"MGR OF EMERGENCY MANAGEMENT SERVICES" OEMC 84168
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER" POLICE 48078
PARAMEDIC FIRE 76266
"POLICE OFFICER" POLICE 80016
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"POLICE OFFICER" POLICE 76266
"SUPERVISING TRAFFIC CONTROL AIDE" OEMC 73992
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"AVIATION SECURITY OFFICER" AVIATION 64392
"ASST CORPORATION COUNSEL II" LAW 67212
"WARD SUPERINTENDENT" "STREETS & SAN" 88188
"AVIATION SECURITY OFFICER" AVIATION 67464
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 98052
SERGEANT POLICE 101442
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 106416
FIREFIGHTER/PARAMEDIC FIRE 82812
"IRON INSPECTOR" BUILDINGS 100256.04
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II" HEALTH 73440
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"ANIMAL CONTROL OFFICER" "ANIMAL CONTRL" 45924
"POLICE OFFICER" POLICE 48078
PARAMEDIC FIRE 76266
"ADMINISTRATIVE ASST II - EXCLUDED" "HUMAN RESOURCES" 39480
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 76266
"PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR)" FIRE 104502
"PARAMEDIC I/C" FIRE 100980
"POLICE OFFICER" POLICE 90024
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"SENIOR BUSINESS CONSULTANT" "BUSINESS AFFAIRS" 70620
"POLICE OFFICER" POLICE 48078
"ASST DIR" POLICE 92952
"POLICE OFFICER" POLICE 48078
"ASST CORPORATION COUNSEL SUPVSR" LAW 115044
INVESTIGATOR-COPA COPA 60312
"POLICE OFFICER" POLICE 96060
PARAMEDIC FIRE 84054
"POLICE OFFICER" POLICE 90024
"DETENTION AIDE" POLICE 77520
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"POLICE COMMUNICATIONS OPERATOR II" OEMC 67464
"DETENTION AIDE" POLICE 67464
"POLICE OFFICER" POLICE 80016
"PARAMEDIC I/C" FIRE 91080
"PUBLIC RELATIONS REPRESENTATIVE III" PROCUREMENT 58572
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 76266
PARAMEDIC FIRE 84054
"POLICE OFFICER" POLICE 84054
"REFUSE COLLECTION COORD" "STREETS & SAN" 84384
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 84054
"CLERK III" POLICE 50628
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II" HEALTH 46188
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 84870
INVESTIGATOR-COPA COPA 60312
"ASST CORPORATION COUNSEL SUPVSR" LAW 91224
"PROJECT COORD" "GENERAL SERVICES" 59976
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 84054
"DETENTION AIDE" POLICE 77520
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 72510
"PERFORMANCE ANALYST" "INSPECTOR GEN" 68100
"SENIOR BUSINESS CONSULTANT" "BUSINESS AFFAIRS" 73944
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT" FIRE 103350
"POLICE OFFICER" POLICE 87006
"AVIATION SECURITY OFFICER" AVIATION 55260
"POLICE OFFICER" POLICE 48078
"UNIT ASST" "GENERAL SERVICES" 58248
"POLICE OFFICER" POLICE 76266
"DETENTION AIDE" POLICE 61464
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 72510
"FIRE MARSHAL-EMT" FIRE 95484
"POLICE OFFICER" POLICE 90024
FIREFIGHTER/PARAMEDIC FIRE 86892
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 91080
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 48078
"ASST CORPORATION COUNSEL I" LAW 65928
"PARAMEDIC I/C" FIRE 82614
PARAMEDIC FIRE 76266
"POLICE OFFICER" POLICE 93354
"SR CERTIFICATION / COMPLIANCE OFFICER" PROCUREMENT 87492
"POLICE OFFICER" POLICE 84054
"ASST CORPORATION COUNSEL III" LAW 65928
FIREFIGHTER-EMT FIRE 84870
"AVIATION COMMUNICATIONS OPERATOR" OEMC 70644
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 76266
"DETENTION AIDE" POLICE 43800
"POLICE OFFICER" POLICE 84054
LIEUTENANT-EMT FIRE 114324
"ADMINISTRATIVE ASST II" BUILDINGS 63876
FIREFIGHTER FIRE 97386
"PRINCIPAL CLERK-ELECTIONS" "BOARD OF ELECTION" 46860
"POLICE OFFICER" POLICE 87006
FIREFIGHTER/PARAMEDIC FIRE 105750
"SUPERVISING CLERK" FINANCE 73440
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
FIREFIGHTER-EMT FIRE 89148
PARAMEDIC FIRE 76266
"ASST CITY TREASURER" TREASURER 87570
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 93354
"COORD OF SPECIAL PROJECTS" AVIATION 97740
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"MANAGER OF WAREHOUSE OPERATIONS" AVIATION 107220
CAPTAIN-EMT FIRE 136794
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
"POLICE OFFICER" POLICE 90024
"LABOR RELATIONS SUPVSR" FIRE 89076
"POLICE OFFICER" POLICE 80016
"COMMUNICATIONS OPERATOR I - 311" OEMC 55536
SERGEANT POLICE 101442
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 68616
SERGEANT POLICE 104628
INVESTIGATOR-COPA COPA 87492
"POLICE OFFICER" POLICE 87006
INVESTIGATOR-COPA COPA 60312
"POLICE OFFICER" POLICE 80016
"WATER CHEMIST II" "WATER MGMNT" 75792
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 94524
"POLICE OFFICER" POLICE 84054
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"POLICE OFFICER" POLICE 48078
"GRAPHIC ARTIST III" "CITY CLERK" 50676
"POLICE OFFICER" POLICE 80016
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
SERGEANT POLICE 107988
SERGEANT POLICE 104628
SERGEANT POLICE 101442
"PROOFREADER - CITY CLERK" "CITY CLERK" 41640
"POLICE OFFICER" POLICE 96060
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"FIREFIGHTER (PER ARBITRATORS AWARD)" FIRE 103932
"PARAMEDIC I/C" FIRE 100980
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"ASST CORPORATION COUNSEL SUPVSR" LAW 100092
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 87006
"STRUCTURAL ENGINEER" BUILDINGS 77304
"DIR OF HUMAN RESOURCES" POLICE 150396
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 72510
LIEUTENANT-EMT FIRE 114324
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER" POLICE 80016
PARAMEDIC FIRE 76266
SERGEANT POLICE 104628
"PUBLIC RELATIONS REPRESENTATIVE III" HEALTH 55644
"DETENTION AIDE" POLICE 56004
"COMMUNICATIONS OPERATOR I - 311" OEMC 58248
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"MANAGER OF VEHICLE MAINTENANCE" "GENERAL SERVICES" 80376
"POLICE OFFICER" POLICE 80016
PARAMEDIC FIRE 76266
"PARKING ENFORCEMENT AIDE" FINANCE 38136
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"HUMAN SERVICE SPECIALIST II" "FAMILY & SUPPORT" 80568
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"CERTIFICATION - COMPLIANCE OFFICER" PROCUREMENT 63480
"POLICE OFFICER" POLICE 93354
"FIRE ENGINEER-EMT" FIRE 103350
"AVIATION SECURITY OFFICER" AVIATION 70644
"PARAMEDIC I/C" FIRE 82614
"POLICE OFFICER" POLICE 68616
"POLICE COMMUNICATIONS OPERATOR II" OEMC 60648
"ASST CORPORATION COUNSEL I" LAW 91224
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 72510
"POLICE COMMUNICATIONS OPERATOR II" OEMC 81156
PARAMEDIC FIRE 76266
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
"POLICE OFFICER" POLICE 87006
"AVIATION SECURITY OFFICER" AVIATION 67464
"POLICE OFFICER" POLICE 84054
"SUPERVISING CLERK" FINANCE 84420
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
"POLICE OFFICER" POLICE 87006
"LIBRARIAN IV" "PUBLIC LIBRARY" 91464
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
INVESTIGATOR-COPA COPA 60312
"POLICE OFFICER" POLICE 76266
"ASST CORPORATION COUNSEL III" LAW 75768
"POLICE OFFICER" POLICE 76266
SERGEANT POLICE 104628
"AVIATION COMMUNICATIONS OPERATOR" OEMC 70644
"ADMINISTRATIVE ASST III" TRANSPORTN 70092
"FIELD SUPVSR I - PARKING ENFORCEMENT" FINANCE 64392
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"SENIOR ENVIRONMENTAL INSPECTOR" HEALTH 88344
"POLICE OFFICER" POLICE 84054
"MANAGER - INFORMATION SERVICES" "CITY COUNCIL" 102552
"POLICE OFFICER" POLICE 90024
"MAJOR CASE SPECIALIST-COPA" COPA 104328
"POLICE OFFICER" POLICE 84054
"ADMINISTRATIVE ASST II" OEMC 60972
"PARAMEDIC I/C" FIRE 97440
"LEGISLATIVE AIDE" "CITY COUNCIL" 90696
"SANITATION CLERK" "STREETS & SAN" 45672
"POLICE COMMUNICATIONS OPERATOR I" OEMC 77520
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 48078
"DIR OF INFORMATION SYSTEMS" COPA 102672
"POLICE COMMUNICATIONS OPERATOR II" OEMC 85056
PARAMEDIC FIRE 56304
"ASST CORPORATION COUNSEL SENIOR" LAW 91224
"ASST CORPORATION COUNSEL III" LAW 65928
"POLICE OFFICER" POLICE 90024
"CLINICAL THERAPIST III" HEALTH 83688
"POLICE OFFICER" POLICE 48078
"ADMINISTRATIVE ASST III" HEALTH 70092
PARAMEDIC FIRE 76266
"ADMINISTRATIVE ASST II" "FAMILY & SUPPORT" 70092
"DETENTION AIDE" POLICE 56004
"POLICE OFFICER" POLICE 72510
PARAMEDIC FIRE 76266
"POLICE COMMUNICATIONS OPERATOR I" OEMC 70644
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"DISTRICT CLERK" "WATER MGMNT" 63840
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 48078
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 83544
"REPROGRAPHICS TECHNICIAN II" "GENERAL SERVICES" 33552
"POLICE OFFICER" POLICE 48078
LIEUTENANT-EMT FIRE 114324
"SUPVSR OF ACCOUNTING" FINANCE 107184
"ADMINISTRATIVE ASST III" "GENERAL SERVICES" 76932
"POLICE OFFICER" POLICE 48078
"SUPERVISING INVESTIGATOR-COPA" COPA 117660
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
PARAMEDIC FIRE 76266
"AVIATION COMMUNICATIONS OPERATOR" OEMC 70644
FIREFIGHTER FIRE 97386
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 65052
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"PARAMEDIC I/C" FIRE 91080
"ADMINISTRATIVE ASST III" "GENERAL SERVICES" 73440
SERGEANT POLICE 101442
"DATA SERVICES ADMINISTRATOR" "STREETS & SAN" 69924
"POLICE OFFICER" POLICE 93354
"DETENTION AIDE" POLICE 73992
"POLICE OFFICER" POLICE 48078
"POLICE COMMUNICATIONS OPERATOR II" OEMC 89124
"PROJECT COORD" FINANCE 62820
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 90024
"POLICE COMMUNICATIONS OPERATOR I" OEMC 70644
"ASST TO THE ALDERMAN" "CITY COUNCIL" 45000
"POLICE OFFICER" POLICE 84054
"SUPVSR OF 311 OPERATIONS" OEMC 88344
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 84054
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"PARALEGAL II" POLICE 84420
"POLICE COMMUNICATIONS OPERATOR I" OEMC 70644
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
"ASST TO THE COMMISSIONER" "FAMILY & SUPPORT" 73944
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 46332
"DEPUTY COMMISSIONER" AVIATION 115680
"PARAMEDIC I/C" FIRE 91080
"PROCUREMENT SPECIALIST" PROCUREMENT 64248
"LEGISLATIVE AIDE" "CITY COUNCIL" 64848
"POLICE OFFICER" POLICE 76266
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"FINANCIAL PLANNING ANALYST" "COMMUNITY DEVELOPMENT" 76536
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"PARKING ENFORCEMENT AIDE" FINANCE 38136
"POLICE OFFICER" POLICE 48078
"REFUSE COLLECTION COORD" "STREETS & SAN" 96984
"POLICE OFFICER" POLICE 80016
"SENIOR DATA ENTRY OPERATOR" POLICE 63876
"POLICE OFFICER" POLICE 84054
"SUPVSR OF CHILDREN SERVICES PROGRAMS" "FAMILY & SUPPORT" 65820
"CLERK III" POLICE 53076
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"PARALEGAL II" COPA 50676
PARAMEDIC FIRE 76266
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 90024
